,place,value_per_sqft_mean,value_per_sqft_simple_mean,value_per_sqft_median
0,Austin,352.70136248296933,236.72370849262728,106.6791549765987
1,Dallas,146.6209977033584,163.27003546484033,50.5375007645306
2,Houston,268.4514327229592,193.83141744651914,120.05309672769796
